CPU,RAM,BINARY
0,24.36,0
0.43,24.38,0
0,24.39,0
0,24.43,0
0.09,24.4,0
0.37,24.38,0
0.63,24.39,0
0,24.4,0
0,24.41,0
0,24.46,0
1.69,24.46,0
0,24.51,0
0,24.52,0
0.5,24.53,0
0.24,24.56,0
0.3,24.61,0
0.25,24.75,0
24.86,25.56,0
0,25.66,0
1.33,25.7,0
0,25.72,0
0.2,25.81,0
0,25.92,0
0.25,25.95,0
50.61,26.8,0
23.87,26.86,0
1.51,26.87,0
0,26.92,0
0.29,26.9,0
0,26.94,0
0.26,26.95,0
0.04,26.96,0
0.2,26.99,0
0.53,27.02,0
0,27.04,0
0.25,27.1,0
0,26.97,0
1.06,26.98,0
0,27.02,0
1.63,27.04,0
0,27.08,0
0.47,27.16,0
24.31,27.14,0
1.84,27.12,0
0,27.16,0
0.16,27.2,0
0.04,27.22,0
0.34,27.23,0
0,27.26,0
26.25,27.28,0
0,27.27,0
25.49,27.39,0
0,27.34,0
0,27.35,0
25,27.35,0
25.61,27.35,0
0.21,27.38,0
25.43,27.44,0
0,27.46,0
0,27.47,0
0,27.51,0
0,27.53,0
0,27.54,0
0.23,27.53,0
0,27.54,0
0.12,27.56,0
0,27.58,0
26.24,27.6,0
0,27.61,0
25.14,27.63,0
24.64,27.65,0
0.17,27.67,0
0.08,27.68,0
0.17,27.69,0
0.23,27.72,0
24.91,27.75,0
0.02,27.72,0
0.37,27.73,0
24.3,27.71,0
0.02,27.72,0
25.45,27.82,0
0.87,27.83,0
0,27.84,0
0.44,27.84,0
0.33,27.84,0
0,27.84,0
0.09,27.85,0
0,27.85,0
0.02,27.86,0
0,27.86,0
0.19,27.86,0
0,27.86,0
1.34,27.86,0
0,27.87,0
1.52,27.87,0
0,27.87,0
0,27.87,0
0,27.88,0
0,27.89,0
0.04,27.89,0
0,27.81,0
0.08,27.8,0
1.52,27.81,0
0.42,27.81,0
0,27.81,0
0.21,27.8,0
0.34,27.8,0
0,27.8,0
0,27.8,0
0.82,27.8,0
0,27.81,0
0.34,27.81,0
0,27.81,0
0,27.81,0
0,27.81,0
0,27.81,0
25.75,27.82,0
0,27.76,0
0,27.77,0
0,27.77,0
0,27.78,0
0,27.78,0
0,27.78,0
0,27.79,0
0.21,27.73,0
0.15,27.73,0
1.03,27.73,0
0,27.72,0
0.02,27.74,0
25.13,22.08,0
1.82,21.86,0
0.45,21.86,0
0,21.86,0
0.09,21.86,0
0.43,21.85,0
0,21.85,0
0.01,21.86,0
0,21.86,0
0.89,21.86,0
0.28,21.86,0
0,21.86,0
0.72,21.86,0
0,21.86,0
0,21.86,0
26.46,21.86,0
0,21.86,0
0.09,21.86,0
0.28,21.86,0
0,21.83,0
0,21.83,0
0,21.83,0
0.5,21.84,0
